device_eui,name,time,position,message_id
000DB53906713658,admin,2017-09-15T12:31:03.697Z,"{""latitude"":1.3229849999999999,""longitude"":104.025042}",-1
000DB53908803674,admin,2017-09-15T12:47:32.118Z,"{""latitude"":1.3231849999999998,""longitude"":104.023912}",-1
000DB5390867366A,admin,2017-09-15T13:14:01.056Z,"{""latitude"":1.3222399999999999,""longitude"":104.022578}",-1
000DB53908593665,admin,2017-09-15T13:15:12.932Z,"{""latitude"":1.3215729999999999,""longitude"":104.02256299999999}",-1
000DB53905663661,admin,2017-09-15T14:15:27.171Z,"{""latitude"":1.32219,""longitude"":104.022587}",-1
000DB539055C3669,admin,2017-09-16T12:55:36.888Z,"{""latitude"":1.322848,""longitude"":104.02404299999999}",-1
000DB539055F3662,admin,2017-09-18T09:16:07.462Z,"{""latitude"":1.3216299999999999,""longitude"":104.022077}",-1
000DB53903783677,admin,2017-09-18T09:51:22.153Z,"{""latitude"":1.321445,""longitude"":104.0225}",-1
000DB539035D3678,admin,2017-09-18T12:02:11.688Z,"{""latitude"":1.322927,""longitude"":104.023862}",-1
000DB53906693659,admin,2017-09-18T12:19:20.531Z,"{""latitude"":1.322808,""longitude"":104.023838}",-1
000DB53908583675,admin,2017-09-18T12:20:33.027Z,"{""latitude"":1.323303,""longitude"":104.02383499999999}",-1
000DB53905693663,admin,2017-09-18T12:33:32.712Z,"{""latitude"":1.321918,""longitude"":104.022533}",-1
000DB53905613665,admin,2017-09-18T12:36:07.820Z,"{""latitude"":1.3231199999999999,""longitude"":104.023733}",-1
000DB5390663365D,admin,2017-09-18T13:21:00.357Z,"{""latitude"":1.321812,""longitude"":104.022638}",-1
000DB53905613665,admin,2017-09-18T14:18:07.721Z,"{""latitude"":1.322273,""longitude"":104.02259}",-1
000DB53905693663,admin,2017-09-18T14:57:32.084Z,"{""latitude"":1.3218079999999999,""longitude"":104.022588}",-1
000DB53906703661,admin,2017-09-18T15:26:23.962Z,"{""latitude"":1.320705,""longitude"":104.026642}",-1
000DB53903783677,admin,2017-09-18T16:20:21.448Z,"{""latitude"":1.321813,""longitude"":104.022447}",-1
000DB5390361367B,admin,2017-09-18T17:37:40.818Z,"{""latitude"":1.321852,""longitude"":104.027917}",-1
000DB53906623658,admin,2017-09-19T08:00:49.021Z,"{""latitude"":1.320875,""longitude"":104.02793199999999}",-1
000DB53908803674,admin,2017-09-19T08:22:10.590Z,"{""latitude"":1.3224369999999999,""longitude"":104.02251799999999}",-1
000DB53908723666,admin,2017-09-19T08:29:43.154Z,"{""latitude"":1.32142,""longitude"":104.02232699999999}",-1
000DB53908723666,admin,2017-09-19T09:50:42.681Z,"{""latitude"":1.321,""longitude"":104.02228}",-1
000DB5390663365D,admin,2017-09-19T09:56:35.063Z,"{""latitude"":1.322112,""longitude"":104.02260799999999}",-1
